League,FT_Score,Matches,Percentage
Argentina - Liga Profesional,1 - 0,37,15%
Argentina - Liga Profesional,1 - 1,35,15%
Argentina - Liga Profesional,0 - 0,34,14%
Argentina - Liga Profesional,2 - 0,24,10%
Argentina - Liga Profesional,0 - 1,22,9%
Argentina - Liga Profesional,2 - 1,17,7%
Argentina - Liga Profesional,1 - 2,13,5%
Argentina - Liga Profesional,0 - 2,11,5%
Argentina - Liga Profesional,3 - 0,9,4%
Argentina - Liga Profesional,0 - 3,6,2%
Argentina - Liga Profesional,3 - 1,5,2%
Argentina - Liga Profesional,4 - 0,5,2%
Argentina - Liga Profesional,3 - 2,4,2%
Argentina - Liga Profesional,2 - 2,4,2%
Argentina - Liga Profesional,4 - 1,4,2%
Argentina - Liga Profesional,1 - 3,3,1%
Argentina - Liga Profesional,3 - 3,2,1%
Argentina - Liga Profesional,2 - 3,2,1%
Argentina - Liga Profesional,0 - 5,1,0%
Argentina - Liga Profesional,5 - 0,1,0%
Argentina - Liga Profesional,1 - 4,1,0%
Argentina - Primera B,0 - 0,34,16%
Argentina - Primera B,1 - 1,32,15%
Argentina - Primera B,2 - 0,25,12%
Argentina - Primera B,0 - 1,21,10%
Argentina - Primera B,1 - 0,21,10%
Argentina - Primera B,1 - 2,15,7%
Argentina - Primera B,2 - 1,14,7%
Argentina - Primera B,0 - 2,12,6%
Argentina - Primera B,3 - 0,8,4%
Argentina - Primera B,2 - 2,5,2%
Argentina - Primera B,3 - 1,5,2%
Argentina - Primera B,1 - 3,3,1%
Argentina - Primera B,3 - 2,3,1%
Argentina - Primera B,0 - 3,2,1%
Argentina - Primera B,4 - 0,2,1%
Argentina - Primera B,5 - 2,1,0%
Argentina - Primera B,5 - 1,1,0%
Argentina - Primera B,5 - 0,1,0%
Argentina - Primera B,1 - 4,1,0%
Argentina - Primera B,3 - 3,1,0%
Argentina - Primera B,2 - 3,1,0%
Argentina - Primera B,4 - 2,1,0%
Argentina - Primera B,4 - 1,1,0%
Australia - A-League,2 - 2,16,9%
Australia - A-League,1 - 1,15,9%
Australia - A-League,1 - 2,13,8%
Australia - A-League,1 - 0,13,8%
Australia - A-League,0 - 1,11,7%
Australia - A-League,1 - 3,9,5%
Australia - A-League,0 - 2,9,5%
Australia - A-League,2 - 0,9,5%
Australia - A-League,2 - 3,8,5%
Australia - A-League,2 - 1,8,5%
Australia - A-League,0 - 0,8,5%
Australia - A-League,4 - 1,7,4%
Australia - A-League,3 - 0,6,4%
Australia - A-League,3 - 4,4,2%
Australia - A-League,0 - 4,4,2%
